Seed,R,Tol,Convergence,Loss,Accuracy
15795.0,8.0,0.01,7.0,2.4941133490929297,0.77734375
15795.0,8.0,0.001,20.0,2.9137484730292167,0.69140625
15795.0,8.0,0.0001,57.0,1.0121742490591163,0.6796875
15795.0,16.0,0.01,6.0,1.4091462446414735,0.66015625
15795.0,16.0,0.001,8.0,1.5132079114855845,0.6484375
15795.0,16.0,0.0001,43.0,0.7979919936464169,0.84765625
15795.0,32.0,0.01,7.0,0.6616315661713275,0.87890625
15795.0,32.0,0.001,33.0,1.9043751647375216,0.375
15795.0,32.0,0.0001,65.0,0.7127118548411946,0.7578125
15795.0,64.0,0.01,7.0,0.8592473708036028,0.625
15795.0,64.0,0.001,70.0,0.3927414813254527,0.91796875
15795.0,64.0,0.0001,95.0,0.3709932263544609,0.94140625
15795.0,128.0,0.01,4.0,1.1219940566013942,0.51953125
15795.0,128.0,0.001,42.0,0.35666206471659734,0.9296875
15795.0,128.0,0.0001,103.0,0.2955899185945652,0.9609375
15795.0,256.0,0.01,15.0,0.5819260353433352,0.89453125
15795.0,256.0,0.001,15.0,0.5843871922088993,0.8828125
15795.0,256.0,0.0001,49.0,0.3355951442249141,0.94140625
15795.0,512.0,0.01,3.0,1.0228830107257276,0.53515625
15795.0,512.0,0.001,34.0,0.396190043763462,0.921875
15795.0,512.0,0.0001,91.0,0.2825189989306892,0.9609375
15795.0,1024.0,0.01,7.0,0.4496944665336808,0.94140625
15795.0,1024.0,0.001,16.0,0.3452289856527543,0.96484375
15795.0,1024.0,0.0001,83.0,0.35517084734609483,0.9453125
15795.0,2048.0,0.01,8.0,0.5503635669862171,0.85546875
15795.0,2048.0,0.001,13.0,0.31249728792693415,0.94921875
15795.0,2048.0,0.0001,71.0,0.2884400010574075,0.95703125
15795.0,4096.0,0.01,11.0,0.3949656014789149,0.9296875
15795.0,4096.0,0.001,29.0,0.30838302196760115,0.94921875
15795.0,4096.0,0.0001,115.0,0.3049860407743574,0.953125
860.0,8.0,0.01,3.0,2.4812017031835865,0.65625
860.0,8.0,0.001,10.0,1.7606115803037672,0.71875
860.0,8.0,0.0001,44.0,0.5428704676529277,0.84765625
860.0,16.0,0.01,6.0,0.6869350757185986,0.7734375
860.0,16.0,0.001,14.0,0.6277498972556613,0.81640625
860.0,16.0,0.0001,96.0,0.6473346151261568,0.86328125
860.0,32.0,0.01,4.0,1.516020905218232,0.40625
860.0,32.0,0.001,30.0,0.7493923977946104,0.765625
860.0,32.0,0.0001,78.0,0.6552603326325818,0.8125
860.0,64.0,0.01,6.0,0.46608398891638625,0.91015625
860.0,64.0,0.001,17.0,0.4642956422230424,0.921875
860.0,64.0,0.0001,28.0,0.4769000170357771,0.921875
860.0,128.0,0.01,7.0,0.4847379502950364,0.84765625
860.0,128.0,0.001,57.0,0.43907002527632966,0.8984375
860.0,128.0,0.0001,85.0,0.3709705656121797,0.90234375
860.0,256.0,0.01,8.0,0.4392297346701957,0.90234375
860.0,256.0,0.001,43.0,0.3890338750411998,0.94921875
860.0,256.0,0.0001,142.0,0.30583696136060456,0.953125
860.0,512.0,0.01,14.0,0.47273525942780514,0.9140625
860.0,512.0,0.001,20.0,0.47584615337674185,0.921875
860.0,512.0,0.0001,56.0,0.3817251222736899,0.89453125
860.0,1024.0,0.01,9.0,0.37022768536111295,0.91015625
860.0,1024.0,0.001,41.0,0.378546610145733,0.93359375
860.0,1024.0,0.0001,154.0,0.326362736775231,0.94140625
860.0,2048.0,0.01,9.0,0.9399270074036066,0.6796875
860.0,2048.0,0.001,9.0,0.9418610255136073,0.6640625
860.0,2048.0,0.0001,23.0,0.4356898218981683,0.85546875
860.0,4096.0,0.01,12.0,0.3487368060102723,0.9453125
860.0,4096.0,0.001,36.0,0.34818463586717746,0.9296875
860.0,4096.0,0.0001,37.0,0.3484419129184667,0.921875
76820.0,8.0,0.01,2.0,1.8939083085464317,0.65625
76820.0,8.0,0.001,29.0,2.1570006728473583,0.578125
76820.0,8.0,0.0001,33.0,0.7733603478887097,0.76953125
76820.0,16.0,0.01,3.0,2.069921158025988,0.7109375
76820.0,16.0,0.001,17.0,0.8005473103249372,0.76171875
76820.0,16.0,0.0001,103.0,1.0744944448249782,0.79296875
76820.0,32.0,0.01,24.0,0.5970867440297881,0.875
76820.0,32.0,0.001,35.0,0.561937119866728,0.84765625
76820.0,32.0,0.0001,209.0,0.4956758696011267,0.8046875
76820.0,64.0,0.01,9.0,0.608130896927858,0.80078125
76820.0,64.0,0.001,114.0,0.45680125868893906,0.9375
76820.0,64.0,0.0001,227.0,0.4611051364972574,0.8828125
76820.0,128.0,0.01,2.0,0.7143253965195158,0.8125
76820.0,128.0,0.001,42.0,0.4292207324191092,0.91015625
76820.0,128.0,0.0001,45.0,0.43740746556875965,0.890625
76820.0,256.0,0.01,11.0,0.5449662735918271,0.9296875
76820.0,256.0,0.001,55.0,0.4225652006988646,0.93359375
76820.0,256.0,0.0001,77.0,0.4284172240738072,0.88671875
76820.0,512.0,0.01,5.0,0.4476086006638848,0.96875
76820.0,512.0,0.001,51.0,0.4370844878477649,0.8984375
76820.0,512.0,0.0001,141.0,0.3852722456531258,0.91796875
76820.0,1024.0,0.01,4.0,0.584817321657325,0.87109375
76820.0,1024.0,0.001,7.0,0.4897938584785513,0.89453125
76820.0,1024.0,0.0001,57.0,0.4785207186142096,0.86328125
76820.0,2048.0,0.01,2.0,0.45152464874646453,0.91796875
76820.0,2048.0,0.001,30.0,0.4991651008238063,0.88671875
76820.0,2048.0,0.0001,130.0,0.4253207592871472,0.96484375
76820.0,4096.0,0.01,6.0,0.47504998890195504,0.96484375
76820.0,4096.0,0.001,30.0,0.4205558159004911,0.8515625
76820.0,4096.0,0.0001,30.0,0.42290910093069145,0.8515625
54886.0,8.0,0.01,3.0,1.0215490368903748,0.69140625
54886.0,8.0,0.001,10.0,0.9334752891698559,0.66796875
54886.0,8.0,0.0001,31.0,2.0648805094449036,0.546875
54886.0,16.0,0.01,14.0,0.9416605678808356,0.7421875
54886.0,16.0,0.001,48.0,2.0295373033432558,0.64453125
54886.0,16.0,0.0001,459.0,0.875113099010296,0.66015625
54886.0,32.0,0.01,13.0,2.2278035445172604,0.38671875
54886.0,32.0,0.001,96.0,0.7747944430669755,0.75390625
54886.0,32.0,0.0001,450.0,0.6958522654885616,0.765625
54886.0,64.0,0.01,30.0,0.8689934811444358,0.71875
54886.0,64.0,0.001,127.0,0.6747360003816277,0.78125
54886.0,64.0,0.0001,631.0,0.6602238723543488,0.78125
54886.0,128.0,0.01,8.0,1.0098911681896183,0.59375
54886.0,128.0,0.001,171.0,0.7778152350708971,0.75
54886.0,128.0,0.0001,366.0,0.7818163272999319,0.6953125
54886.0,256.0,0.01,15.0,1.077581510968571,0.5234375
54886.0,256.0,0.001,93.0,0.6638440631354849,0.78125
54886.0,256.0,0.0001,319.0,0.6586433308943171,0.80859375
54886.0,512.0,0.01,12.0,0.8151604858928455,0.7109375
54886.0,512.0,0.001,14.0,0.6374805755709445,0.86328125
54886.0,512.0,0.0001,100.0,0.9363681779471649,0.65625
54886.0,1024.0,0.01,3.0,0.6564598869076625,0.76171875
54886.0,1024.0,0.001,30.0,0.643096391843514,0.8515625
54886.0,1024.0,0.0001,63.0,0.6226487046992213,0.85546875
54886.0,2048.0,0.01,12.0,1.4230032990716293,0.46484375
54886.0,2048.0,0.001,61.0,0.6124153267406184,0.8125
54886.0,2048.0,0.0001,199.0,0.5915661019817018,0.859375
54886.0,4096.0,0.01,7.0,0.6391397954751882,0.80078125
54886.0,4096.0,0.001,54.0,0.8560818243184012,0.72265625
54886.0,4096.0,0.0001,54.0,0.8598785448354813,0.7109375
6265.0,8.0,0.01,8.0,0.9822464877393435,0.7578125
6265.0,8.0,0.001,8.0,0.8560315133107087,0.7578125
6265.0,8.0,0.0001,127.0,0.997629885196901,0.80859375
6265.0,16.0,0.01,2.0,1.9016549200034705,0.41015625
6265.0,16.0,0.001,27.0,0.818631684581184,0.74609375
6265.0,16.0,0.0001,34.0,0.7265752863077615,0.76171875
6265.0,32.0,0.01,7.0,1.2009482602396016,0.5546875
6265.0,32.0,0.001,44.0,0.4977353463638831,0.87109375
6265.0,32.0,0.0001,44.0,0.4814693938973561,0.875
6265.0,64.0,0.01,6.0,0.7675706606136844,0.76171875
6265.0,64.0,0.001,36.0,0.3413937963969337,0.96484375
6265.0,64.0,0.0001,112.0,0.2947537140422331,0.953125
6265.0,128.0,0.01,10.0,0.5325889284611716,0.921875
6265.0,128.0,0.001,33.0,0.34255107150573716,0.953125
6265.0,128.0,0.0001,45.0,0.3328090136138768,0.921875
6265.0,256.0,0.01,14.0,0.5534498086989506,0.88671875
6265.0,256.0,0.001,14.0,0.548126387356447,0.8828125
6265.0,256.0,0.0001,85.0,0.2858123775303538,0.9765625
6265.0,512.0,0.01,6.0,0.5489390904916482,0.875
6265.0,512.0,0.001,8.0,0.5348876360163217,0.87109375
6265.0,512.0,0.0001,38.0,0.35501355437574367,0.98828125
6265.0,1024.0,0.01,5.0,0.4916607190857357,0.95703125
6265.0,1024.0,0.001,33.0,0.3210894700329263,0.9765625
6265.0,1024.0,0.0001,93.0,0.2814130197028004,0.9609375
6265.0,2048.0,0.01,9.0,0.44632800787866866,0.92578125
6265.0,2048.0,0.001,15.0,0.4410065644026373,0.93359375
6265.0,2048.0,0.0001,37.0,0.4554609669025662,0.91796875
6265.0,4096.0,0.01,10.0,0.62416465270421,0.890625
6265.0,4096.0,0.001,51.0,0.35373903301818876,0.9609375
6265.0,4096.0,0.0001,51.0,0.35361281557947005,0.9609375
82386.0,8.0,0.01,4.0,2.4638918932710623,0.453125
82386.0,8.0,0.001,22.0,2.7119349998104085,0.54296875
82386.0,8.0,0.0001,77.0,1.378399395969308,0.65234375
82386.0,16.0,0.01,15.0,1.4379349519615447,0.52734375
82386.0,16.0,0.001,23.0,0.6518987771712457,0.8046875
82386.0,16.0,0.0001,96.0,0.6396596043369221,0.8515625
82386.0,32.0,0.01,43.0,1.4661205868751706,0.3671875
82386.0,32.0,0.001,47.0,1.711565166590973,0.39453125
82386.0,32.0,0.0001,162.0,0.5817493408684588,0.875
82386.0,64.0,0.01,11.0,1.142435999273571,0.5234375
82386.0,64.0,0.001,42.0,1.03109678398422,0.7265625
82386.0,64.0,0.0001,124.0,0.6306625670354615,0.83203125
82386.0,128.0,0.01,15.0,0.6642549579514488,0.81640625
82386.0,128.0,0.001,29.0,0.5238417450818362,0.8984375
82386.0,128.0,0.0001,288.0,0.5685117505833818,0.94140625
82386.0,256.0,0.01,3.0,0.9787752525548382,0.59375
82386.0,256.0,0.001,3.0,0.9954938645477165,0.6015625
82386.0,256.0,0.0001,57.0,0.5707721574412777,0.89453125
82386.0,512.0,0.01,11.0,0.5573843611281057,0.87109375
82386.0,512.0,0.001,36.0,0.6289404160943245,0.828125
82386.0,512.0,0.0001,61.0,0.6023924496697581,0.78125
82386.0,1024.0,0.01,3.0,1.10026219231306,0.5
82386.0,1024.0,0.001,13.0,0.6329755084903574,0.90625
82386.0,1024.0,0.0001,57.0,0.6413485989659082,0.90625
82386.0,2048.0,0.01,4.0,0.9923905263102946,0.56640625
82386.0,2048.0,0.001,9.0,0.6901692351213248,0.765625
82386.0,2048.0,0.0001,168.0,0.4977700539980183,0.9765625
82386.0,4096.0,0.01,3.0,1.2387343801470092,0.53125
82386.0,4096.0,0.001,58.0,0.5279118101306775,0.9921875
82386.0,4096.0,0.0001,174.0,0.534845304759449,0.953125
37194.0,8.0,0.01,3.0,3.561504256893647,0.515625
37194.0,8.0,0.001,13.0,1.8810579161943037,0.609375
37194.0,8.0,0.0001,121.0,2.978092045834404,0.33984375
37194.0,16.0,0.01,4.0,1.020822670650599,0.578125
37194.0,16.0,0.001,23.0,0.821166907419819,0.69921875
37194.0,16.0,0.0001,69.0,0.8210005767743553,0.796875
37194.0,32.0,0.01,5.0,0.8629648210553131,0.68359375
37194.0,32.0,0.001,53.0,0.7043564601132337,0.7890625
37194.0,32.0,0.0001,65.0,0.6958380783400039,0.76171875
37194.0,64.0,0.01,14.0,1.1022548789479023,0.51953125
37194.0,64.0,0.001,24.0,0.8163717033406002,0.671875
37194.0,64.0,0.0001,40.0,0.5964838665468121,0.8203125
37194.0,128.0,0.01,4.0,0.7884913041207662,0.65234375
37194.0,128.0,0.001,21.0,0.5954998235568123,0.828125
37194.0,128.0,0.0001,25.0,0.5727014987554708,0.87109375
37194.0,256.0,0.01,3.0,1.1653962389663768,0.41015625
37194.0,256.0,0.001,45.0,0.5517178075214106,0.8671875
37194.0,256.0,0.0001,54.0,0.5464756307318005,0.94140625
37194.0,512.0,0.01,4.0,0.6931963106217234,0.76953125
37194.0,512.0,0.001,25.0,0.5391393673003262,0.90234375
37194.0,512.0,0.0001,25.0,0.5447538110223755,0.91015625
37194.0,1024.0,0.01,3.0,0.6061722952557409,0.875
37194.0,1024.0,0.001,9.0,0.5221091158715603,0.890625
37194.0,1024.0,0.0001,39.0,0.4437302717411411,0.98046875
37194.0,2048.0,0.01,17.0,0.6186608123739415,0.82421875
37194.0,2048.0,0.001,25.0,0.7634057798076788,0.70703125
37194.0,2048.0,0.0001,396.0,0.4457294603918251,0.9140625
37194.0,4096.0,0.01,3.0,0.7733362291642265,0.68359375
37194.0,4096.0,0.001,18.0,0.57734199218473,0.89453125
37194.0,4096.0,0.0001,148.0,0.47701633384696196,0.97265625
87498.0,8.0,0.01,2.0,2.5083757184283275,0.54296875
87498.0,8.0,0.001,13.0,1.599938469243921,0.75390625
87498.0,8.0,0.0001,115.0,2.3695461995248723,0.6015625
87498.0,16.0,0.01,3.0,1.1527672445271855,0.6875
87498.0,16.0,0.001,8.0,0.639410596208823,0.8203125
87498.0,16.0,0.0001,40.0,0.616140358021901,0.828125
87498.0,32.0,0.01,4.0,0.9423966029267237,0.5859375
87498.0,32.0,0.001,63.0,0.5312864982119658,0.92578125
87498.0,32.0,0.0001,345.0,0.5410509121815015,0.90234375
87498.0,64.0,0.01,6.0,0.8758844230201235,0.6875
87498.0,64.0,0.001,63.0,0.6127447125496676,0.84765625
87498.0,64.0,0.0001,156.0,0.5475632559243477,0.9140625
87498.0,128.0,0.01,9.0,1.129637051709048,0.5234375
87498.0,128.0,0.001,11.0,0.9718765297774938,0.5859375
87498.0,128.0,0.0001,173.0,0.4927731874584057,0.93359375
87498.0,256.0,0.01,6.0,1.4177560269092382,0.515625
87498.0,256.0,0.001,14.0,1.1191162045202332,0.57421875
87498.0,256.0,0.0001,137.0,0.5290609086061637,0.92578125
87498.0,512.0,0.01,4.0,1.2394437588051863,0.44140625
87498.0,512.0,0.001,46.0,0.554705939851142,0.87890625
87498.0,512.0,0.0001,57.0,0.524831886325736,0.9140625
87498.0,1024.0,0.01,11.0,0.5419965054486386,0.79296875
87498.0,1024.0,0.001,52.0,0.4917479708489757,0.91015625
87498.0,1024.0,0.0001,141.0,0.5079552086291288,0.8828125
87498.0,2048.0,0.01,4.0,1.3897652026120666,0.44921875
87498.0,2048.0,0.001,42.0,0.5587630664204958,0.87109375
87498.0,2048.0,0.0001,112.0,0.49935446880363404,0.92578125
87498.0,4096.0,0.01,9.0,0.8344464599625949,0.71875
87498.0,4096.0,0.001,30.0,0.5368149569969936,0.93359375
87498.0,4096.0,0.0001,115.0,0.48091402546911377,0.97265625
44131.0,8.0,0.01,2.0,1.8396730385169706,0.484375
44131.0,8.0,0.001,18.0,1.6437699943319588,0.5859375
44131.0,8.0,0.0001,34.0,1.632437024767424,0.65234375
44131.0,16.0,0.01,6.0,1.9063228165034165,0.41015625
44131.0,16.0,0.001,13.0,0.7084867008180323,0.7734375
44131.0,16.0,0.0001,92.0,0.6743389128941653,0.78125
44131.0,32.0,0.01,7.0,0.7924337925536854,0.70703125
44131.0,32.0,0.001,27.0,0.7724000310790728,0.7578125
44131.0,32.0,0.0001,27.0,0.8042075891464305,0.765625
44131.0,64.0,0.01,4.0,0.8573213644775479,0.65234375
44131.0,64.0,0.001,4.0,0.8307606512101456,0.65625
44131.0,64.0,0.0001,53.0,0.5275988519836451,0.89453125
44131.0,128.0,0.01,14.0,0.5163112599101609,0.92578125
44131.0,128.0,0.001,86.0,0.5199208410510403,0.93359375
44131.0,128.0,0.0001,121.0,0.5124960539251378,0.9375
44131.0,256.0,0.01,20.0,0.9397930066416779,0.67578125
44131.0,256.0,0.001,22.0,0.569774974133203,0.83984375
44131.0,256.0,0.0001,394.0,0.46518517641760565,0.94140625
44131.0,512.0,0.01,5.0,0.7047884405817295,0.71875
44131.0,512.0,0.001,42.0,0.6179111777484461,0.8671875
44131.0,512.0,0.0001,65.0,0.6024739913623198,0.87890625
44131.0,1024.0,0.01,14.0,0.6535873731974469,0.828125
44131.0,1024.0,0.001,85.0,0.47787681426853557,0.9296875
44131.0,1024.0,0.0001,287.0,0.4580253991180312,0.97265625
44131.0,2048.0,0.01,6.0,1.0877611153251274,0.52734375
44131.0,2048.0,0.001,6.0,1.0832742686424968,0.48046875
44131.0,2048.0,0.0001,138.0,0.5429423952175272,0.93359375
44131.0,4096.0,0.01,7.0,1.1018510990724386,0.671875
44131.0,4096.0,0.001,7.0,1.0997601351750317,0.65625
44131.0,4096.0,0.0001,100.0,0.4836327171844655,0.875
60263.0,8.0,0.01,14.0,0.6927175923887886,0.83984375
60263.0,8.0,0.001,16.0,0.7385893445234715,0.8359375
60263.0,8.0,0.0001,74.0,0.9312184459089266,0.8671875
60263.0,16.0,0.01,15.0,0.4308327883329644,0.88671875
60263.0,16.0,0.001,52.0,0.36591184038248936,0.8984375
60263.0,16.0,0.0001,82.0,0.39177036075159954,0.90625
60263.0,32.0,0.01,8.0,0.7725176192305697,0.79296875
60263.0,32.0,0.001,16.0,0.5483298272270246,0.859375
60263.0,32.0,0.0001,229.0,0.2843107000931552,0.93359375
60263.0,64.0,0.01,3.0,0.9071822368915551,0.671875
60263.0,64.0,0.001,40.0,0.28914885536265467,0.94921875
60263.0,64.0,0.0001,163.0,0.2737279307598501,0.94140625
60263.0,128.0,0.01,4.0,0.7454927930340901,0.734375
60263.0,128.0,0.001,21.0,0.2733587532022115,0.9453125
60263.0,128.0,0.0001,74.0,0.2499220414159169,0.96484375
60263.0,256.0,0.01,8.0,0.43500003295785994,0.94140625
60263.0,256.0,0.001,36.0,0.42044924268337164,0.921875
60263.0,256.0,0.0001,127.0,0.3075672842742607,0.94921875
60263.0,512.0,0.01,6.0,0.7040338271588271,0.84765625
60263.0,512.0,0.001,38.0,0.29159540952936713,0.94921875
60263.0,512.0,0.0001,106.0,0.27272045362370145,0.9765625
60263.0,1024.0,0.01,6.0,0.5627927797426917,0.88671875
60263.0,1024.0,0.001,44.0,0.42559475767182336,0.9296875
60263.0,1024.0,0.0001,218.0,0.2884648732894537,0.98046875
60263.0,2048.0,0.01,6.0,0.6415826931458859,0.83984375
60263.0,2048.0,0.001,54.0,0.3025346124993339,0.96875
60263.0,2048.0,0.0001,124.0,0.266082901736712,0.98046875
60263.0,4096.0,0.01,11.0,0.47292101328425257,0.8984375
60263.0,4096.0,0.001,62.0,0.2894775038921019,0.97265625
60263.0,4096.0,0.0001,88.0,0.29246398532051576,0.94921875
